good_id,good,first_course,main_course,drink,bakery,dessert,snacks,salad,meat&fish
137.0,Стейк из свиной шеи/Гремолата 80/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
138.0,С-т из кур/сельдер/гренки/с.цезарь 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
139.0,Медальоны свиные Барбекю 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
140.0,Пирожок с картоф/бекон,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
141.0,Суп-пюре из курицы 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
142.0,Овощи гриль/з.йогуртовая 150/20гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
143.0,Карпаччо из сала/картоф/грибы 120гр,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
144.0,Шницель куриный/натуральный 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
145.0,Суп-пюре из овощей с/м 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
146.0,С-т с хурмой/помидор/брынза 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
147.0,С-т Морской коктейль/овощи 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
148.0,Пирожок с ветч/сыр 60гр,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
149.0,Айлазан из свежих овощей 200гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
150.0,Печень запеч/сметана 100/20,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
151.0,Пирожок с мясом,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
152.0,Фасоль стручк/овощи/с.томатный 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
153.0,С-т из б/к/укроп 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
154.0,С-т Витаминный/масло 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
155.0,С-т Слоеный/краб.пал 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
156.0,Эскалоп из свинины/лук фри 80/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
