good_id,good
454,Макароны с базиликом 150гр
455,Суп-шурпа/узбекский горох 250гр
456,Люля-кебаб из баранины 100/20гр
457,С-т Посейдон/майонез 120гр
458,С-т из помидор/брынзы/масла 120гр
459,Картофель с кунжутом 150гр
460,Окрошка овощная/кефир 250гр
461,Биточки по-селянски 100/40гр
462,С-т с копч.сыром/кур/с.йогуртовый 120гр
463,С-т микс/кр.чечев/лук/томаты/зап 120 гр
464,Напиток Яблоневый сад/без сахара 200гр
465,Свинина/с.чимичурри 80/20гр
466,С-т из кур/черри/кукуруза/майонез 120гр
467,Суп-лапша яичная/утка 250гр
468,Шницель рыбный/помидор/сыр 100/20гр
469,Суп итальянский/кур 250гр
470,Индейка запеченная в зелени 80гр
471,Морковь/с.земляничный 120гр
472,Лимонад клубнично-имбирный 200гр
473,Кур.филе припущен/сельдереем 80/20гр
474,Лимонад розовый 200гр
475,Говядина туш.бобами/овощи 75/50 гр
476,Говядина по-шанхайски 75/50гр
477,Картофель с карри 150гр
478,Рыба жар/баклажан 80/40гр
479,Котлеты Пожарские 100гр
480,Суп Абхазский/говядина 250гр
481,Картофель Пушкин 150гр
482,Рис по-македонски 150гр
483,Говядина туш/грибы 75/50гр
484,Окрошка овощная/квас 250гр
485,Жульен овощной/м.кунжутное 120гр
486,Капуста по-восточному 120гр
487,Компот из св.груш/ягоды с/м/б.сах 200гр
488,С-т овощной/с.киви 120гр
489,Свинина под с.Инкассе 80/20гр
490,Котлета мясная/с.луковый 100/40 гр
491,Свинина/цуккини/сыр 80/20гр
492,С-т Летние овощи/масло 120гр
493,С-т с семечками/масло 120гр
494,Суп из чечевицы/перца 250гр
495,Овощи печеные 200гр
496,Свинина жаренная с ананасом 80/50гр
497,Сельдь с картофелем 120гр
498,Говядина туш/сливки/травы 75/50гр
499,С-т Аччик/масло 120гр
500,Говядина шпигованная 100гр
501,Тар-тар из сельди/з.лимонная 120гр
502,Юшка с кабачками 250гр
503,Свекольник холодный 250гр
504,С-т китайский/свинина 120гр
505,Спагетти по-румынски 150гр
506,Тефтели в томатном соусе 100/40гр
507,Капуста с кумином 150гр
508,С-т с тунцом/фасоль/айсберг/гр 120гр
509,Котлета куриная/по-суздальски 100гр
510,С-т Оливье/три вида мяса/майонез 120гр
511,С-т из кальмар/айсберг/яйцо/том/за 120гр
512,С-т Кремлевский/креветки/запр 120гр
513,Чили кон карне/говядина 75/50гр
514,Рулет из курицы/чернослив 120гр
515,Лаваш с мясом/с.сальса 200гр
516,Свинина с овощным рататуем 80/40гр
517,Винегрет с сельдью 120гр
518,Борщ холодный 250гр
519,С-т из кальмар/краб.пал/майонез 120гр
520,Фрикадельки по-итальянски 100/40гр
521,Кета с дольками апельсина/лайма 80/20гр
522,Помидоры по-грузински/рыба 120гр
523,С-т из рисовой лапши/овощи/заправк 120гр
524,С-т из говяд/ростки сои/заправка 120гр
525,С-т из к/к с редисом 120 гр
526,Зразы рыбные/луком/яйцо 100гр
527,Рагу летнее/овощи 200гр
528,Жаркое из свинины/грибы 200гр
529,С-т с уткой/с.из брусники 120гр
530,Жаркое по-домашнему/курица 200гр
531,Морковь/груша 120гр
532,С-т из редиса/з.из брынзы 120гр
533,Щи Луговые/щавелевые/яйцо 250гр
534,Плов из баранины 200гр
535,Суп картофельный/сл.перец 250гр
536,Свекла/сельдь/с.крем-чиз 120гр
537,Суп фасолевый/кур/петрушка 250гр
538,Суп огуречный/йогурт/базилик 250гр
539,Суп холодный на кефире 250гр
540,С-т из говяд/цуккини/майонез 120гр
541,С-т из кальмар/айсберг/с.цезарь 120гр
542,С-т из щавеля/карт.черри/огур/яйцо 120гр
543,Капуста по-болгарски 120гр
544,Капуста тушеная 150гр
545,Жаркое из индейки/булгур 200гр
546,Шашлык из кур/медово-горчичный мар 100гр
547,Щи зеленые/мясо/холодные 250гр
548,Морковь/курага 120гр
549,Пилаф из трех круп 150гр
550,Рулет куриный/фрукты/сыр 100гр
551,С-т айсберг/огурец/масло 120гр
552,Грибы марин/лук/ароматное масло 120гр
553,Рыба в листьях пекинской капусты 140гр
554,Говядина туш/квас 80/20гр
555,Ватрушка картофельная/фета/порей/ти200гр
556,Рыба жар/розмарина/лайм 80/20гр
557,Шашлык из свинины 80гр
558,Огурцы малосольные 120гр
559,Котлета мясная на пару/с.из перца 100/20
560,Рыба по-провански 80/30гр
561,Говядина с цуккини/баклаж/с.тайск75/50г
562,Кнели мясные паровые 100гр
563,Суп по-испански/овощи 250гр
564,Жаркое по-домашнему/свинина 200гр
565,Свекла/с.зеленый 120 гр
566,Бананы очищенные 1кг СБ
567,Суп-пюре из кабачков 250гр
568,Свинина/помидор/сыр 80/20гр
569,Кабачки фарш/мясо/рис 200/40гр
570,Компот из ананасов/ягод/без сахара 200гр
571,Оладьи из печени/сметана 100/20гр
572,Рог Изобилия 150гр
573,Икра из кабачков 120гр
574,Свекла/чернослив/майонез 120гр
575,Шарики из ризотто/грибы/фета 120 гр
